Year,S,Nb_LD_est,Nb_LD_lower,Nb_LD_upper,r_star,p_crit
2010,29,63.7,38.7,2359.4,0.003623,0.05
2011,39,212.6,98.8,477.6,0.00195499999999999,0.05
2012,52,202.6,101.3,239.7,0.00227199999999999,0.05
2013,63,181.5,127.9,358.6,0.00171599999999999,0.05
2014,22,92.2,35.4,246.4,0.004595,0.05
