Pop_name	Pop_samplesize	Rstar
1	63	0.001583
2	23	0.000588
3	52	0.001988
4	29	0.001581
5	42	0.001690
6	9	-0.004030
7	4	-0.041194
8	10	-0.001848
9	3	-0.149039
10	5	-0.019823
11	1	-5.348800
