Year,Scenario,Nb_SA_est,Nb_SA_lower,Nb_SA_upper,FS_count_Nb_SA,HS_count_Nb_SA
2010,scenario_final,96,59,186,7,3
2011,scenario_final,247,156,600,4,5
2012,scenario_final,196,132,306,8,16
2013,scenario_final,163,114,248,16,21
2014,scenario_final,132,70,445,3,1
