OffspringID1,OffspringID2
2013-MBB-1160,2013-MBB-1269
2013-MBB-1165,2013-MBB-1342
2013-MBB-1181,2013-MBB-1398
2013-MBB-1183,2013-MBB-1394
2013-MBB-1185,2013-MBB-1191
2013-MBB-1344,2013-MBB-1366
2013-MBB-1365,2013-MBB-1375
2013-MBB-1365,2013-MBB-1535
2013-MBB-1375,2013-MBB-1535
2013-MBB-1406,2013-MBB-1476
2013-MBB-1418,2013-MBB-1509
2013-MBB-1434,2013-MBB-1546
2013-MBB-1453,2013-MBB-1460
2013-MBB-1459,2013-MBB-1479
2013-MBB-1477,2013-MBB-1545
2013-MBB-1489,2013-MBB-1519
